"Zipcode","ZipCodeType","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages","averageWage"
"02668","STANDARD","WEST BARNSTABLE","MA",41.7,-70.37,1687,2937,77683379," 26449.91"
"01581","STANDARD","WESTBOROUGH","MA",42.26,-71.61,9083,16691,693485763," 41548.48"
"01583","STANDARD","WEST BOYLSTON","MA",42.36,-71.78,3436,5947,167563662," 28176.17"
"02379","STANDARD","WEST BRIDGEWATER","MA",42.01,-71,3484,6030,171202529," 28391.80"
"01585","STANDARD","WEST BROOKFIELD","MA",42.23,-72.14,2050,3585,86993358," 24265.93"
"02669","PO BOX","WEST CHATHAM","MA",41.68,-69.99,453,706,13356462," 18918.50"
"02670","STANDARD","WEST DENNIS","MA",41.66,-70.16,882,1294,20668944," 15972.91"
"02574","PO BOX","WEST FALMOUTH","MA",41.6,-70.64,625,1002,20285629," 20245.14"
"01886","STANDARD","WESTFORD","MA",42.58,-71.43,10483,20376,903344951," 44333.77"
"02671","STANDARD","WEST HARWICH","MA",41.67,-70.11,631,971,15886662," 16361.13"
"02672","PO BOX","WEST HYANNISPORT","MA",41.66,-70.33,350,548,13494226," 24624.50"
"01473","STANDARD","WESTMINSTER","MA",42.55,-71.9,3725,6741,186970799," 27736.36"
"01985","STANDARD","WEST NEWBURY","MA",42.8,-71,2066,3927,162385929," 41351.14"
"02575","PO BOX","WEST TISBURY","MA",41.38,-70.67,1016,1631,33339001," 20440.83"
"01568","STANDARD","UPTON","MA",42.17,-71.61,3397,6440,252289215," 39175.34"
"02576","STANDARD","WEST WAREHAM","MA",41.78,-70.75,2051,3479,78599337," 22592.51"
"02090","STANDARD","WESTWOOD","MA",42.21,-71.21,7025,13095,668334964," 51037.42"
"01588","STANDARD","WHITINSVILLE","MA",42.11,-71.67,4481,7937,211143983," 26602.49"
"02382","STANDARD","WHITMAN","MA",42.08,-70.93,7186,12411,329234328," 26527.62"
"01887","STANDARD","WILMINGTON","MA",42.55,-71.16,11156,20129,650187308," 32301.02"
"01475","STANDARD","WINCHENDON","MA",42.68,-72.04,4429,7879,171815411," 21806.75"
"01890","STANDARD","WINCHESTER","MA",42.45,-71.14,10388,19213,1111445187," 57848.60"
"01801","STANDARD","WOBURN","MA",42.48,-71.15,20667,33608,978759571," 29122.82"
"01602","STANDARD","WORCESTER","MA",42.26,-71.8,10972,18196,445928427," 24506.95"
"01603","STANDARD","WORCESTER","MA",42.26,-71.8,8883,14610,289747671," 19832.15"
